"Story","Title","Result","Date","Stability","Duration (s)"
"When checking in to the pet hotel","Petra books her pet cat into the hotel","SUCCESS","2023-09-06T21:03:32.254354463Z[Etc/UTC]","0.0","0.99"
"When checking in to the pet hotel","Petra checks her cat out of the hotel","SUCCESS","2023-09-06T21:03:33.347597621Z[Etc/UTC]","0.0","0.08"
"When checking in to the pet hotel","Petra books her pet cat into the hotel that is already full","SUCCESS","2023-09-06T21:03:33.445724528Z[Etc/UTC]","0.0","0.05"
